raw_record_id,deduped_record_id,dedupe_key,source_database,source_record_id
raw-001677,deduped-000038,doi:10.1002/2013jd020932,OpenAlex,https://openalex.org/W2141845251
raw-001352,deduped-000039,doi:10.1002/2013jd021060,OpenAlex,https://openalex.org/W2095146656
raw-001620,deduped-000040,doi:10.1002/2013jd021097,OpenAlex,https://openalex.org/W2131758001
raw-001520,deduped-000041,doi:10.1002/2013jd021105,OpenAlex,https://openalex.org/W2117760008
raw-000560,deduped-000042,doi:10.1002/2013jd021139,OpenAlex,https://openalex.org/W1924438030
raw-000681,deduped-000043,doi:10.1002/2013jd021172,OpenAlex,https://openalex.org/W1976736091
raw-000498,deduped-000044,doi:10.1002/2013jd021190,OpenAlex,https://openalex.org/W1881525011
raw-001010,deduped-000045,doi:10.1002/2013jd021397,OpenAlex,https://openalex.org/W2035907431
raw-001580,deduped-000046,doi:10.1002/2013jd021403,OpenAlex,https://openalex.org/W2125996960
raw-000339,deduped-000047,doi:10.1002/2013jd021431,OpenAlex,https://openalex.org/W1581737123
raw-000817,deduped-000048,doi:10.1002/2013jf002931,OpenAlex,https://openalex.org/W2002841870
raw-001140,deduped-000049,doi:10.1002/2013jg002381,OpenAlex,https://openalex.org/W2056511781
raw-001851,deduped-000050,doi:10.1002/2013jg002502,OpenAlex,https://openalex.org/W2167662252
raw-001659,deduped-000051,doi:10.1002/2013jg002535,OpenAlex,https://openalex.org/W2137446483
raw-000761,deduped-000052,doi:10.1002/2013ms000266,OpenAlex,https://openalex.org/W1992759408
raw-000544,deduped-000053,doi:10.1002/2013ms000294,OpenAlex,https://openalex.org/W1915936126
raw-000774,deduped-000054,doi:10.1002/2013rg000448,OpenAlex,https://openalex.org/W1994987090
raw-001222,deduped-000055,doi:10.1002/2013wr014266,OpenAlex,https://openalex.org/W2071489331
raw-006289,deduped-000056,doi:10.1002/2014ef000019,OpenAlex,https://openalex.org/W2795733710
raw-000279,deduped-000057,doi:10.1002/2014ef000239,OpenAlex,https://openalex.org/W1525688033
raw-000263,deduped-000058,doi:10.1002/2014ef000272,OpenAlex,https://openalex.org/W1506222503
raw-000759,deduped-000059,doi:10.1002/2014eo090001,OpenAlex,https://openalex.org/W1992579369
raw-001626,deduped-000060,doi:10.1002/2014eo180001,OpenAlex,https://openalex.org/W2132951108
raw-001550,deduped-000061,doi:10.1002/2014gb004852,OpenAlex,https://openalex.org/W2121985872
raw-001874,deduped-000062,doi:10.1002/2014gb004949,OpenAlex,https://openalex.org/W2170908720
raw-001647,deduped-000063,doi:10.1002/2014gb004959,OpenAlex,https://openalex.org/W2135579304
raw-000505,deduped-000064,doi:10.1002/2014gb004988,OpenAlex,https://openalex.org/W1885359558
raw-000574,deduped-000065,doi:10.1002/2014gb004995,OpenAlex,https://openalex.org/W1932751939
raw-000317,deduped-000066,doi:10.1002/2014gl059692,OpenAlex,https://openalex.org/W1563339351
raw-001278,deduped-000067,doi:10.1002/2014gl059724,OpenAlex,https://openalex.org/W2081488080
raw-001597,deduped-000068,doi:10.1002/2014gl060043,OpenAlex,https://openalex.org/W2128562926
raw-001542,deduped-000069,doi:10.1002/2014gl060349,OpenAlex,https://openalex.org/W2120300574
raw-001622,deduped-000070,doi:10.1002/2014gl060556,OpenAlex,https://openalex.org/W2132045587
raw-000527,deduped-000071,doi:10.1002/2014gl060868,OpenAlex,https://openalex.org/W1905314983
raw-001592,deduped-000072,doi:10.1002/2014gl061142,OpenAlex,https://openalex.org/W2127994554
raw-000766,deduped-000073,doi:10.1002/2014gl061145,OpenAlex,https://openalex.org/W1994015690
raw-001420,deduped-000074,doi:10.1002/2014gl061313,OpenAlex,https://openalex.org/W2105361124
raw-001385,deduped-000075,doi:10.1002/2014gl061378,OpenAlex,https://openalex.org/W2100924131
raw-000345,deduped-000076,doi:10.1002/2014gl062352,OpenAlex,https://openalex.org/W1592686950
raw-000542,deduped-000077,doi:10.1002/2014gl062473,OpenAlex,https://openalex.org/W1915375669
raw-000565,deduped-000078,doi:10.1002/2014gl062522,OpenAlex,https://openalex.org/W1925861598
raw-000595,deduped-000079,doi:10.1002/2014gl062531,OpenAlex,https://openalex.org/W1948545957
raw-001154,deduped-000080,doi:10.1002/2014gl062588,OpenAlex,https://openalex.org/W2058420228
raw-000417,deduped-000081,doi:10.1002/2014gl062593,OpenAlex,https://openalex.org/W1753955002
raw-001810,deduped-000082,doi:10.1002/2014gl062775,OpenAlex,https://openalex.org/W2160449980
raw-001062,deduped-000083,doi:10.1002/2014jc010104,OpenAlex,https://openalex.org/W2042537553
raw-001513,deduped-000084,doi:10.1002/2014jc010141,OpenAlex,https://openalex.org/W2116293776
raw-001527,deduped-000085,doi:10.1002/2014jd021608,OpenAlex,https://openalex.org/W2118824280
raw-001287,deduped-000086,doi:10.1002/2014jd021732,OpenAlex,https://openalex.org/W2082996654
raw-000293,deduped-000087,doi:10.1002/2014jd021918,OpenAlex,https://openalex.org/W1539996750
raw-001536,deduped-000088,doi:10.1002/2014jd022022,OpenAlex,https://openalex.org/W2119241804
raw-000833,deduped-000089,doi:10.1002/2014jd022055,OpenAlex,https://openalex.org/W2005615946
raw-000246,deduped-000090,doi:10.1002/2014jd022059,OpenAlex,https://openalex.org/W1486565244
raw-001392,deduped-000091,doi:10.1002/2014jd022067,OpenAlex,https://openalex.org/W2101948764
raw-001495,deduped-000092,doi:10.1002/2014jd022098,OpenAlex,https://openalex.org/W2114715783
raw-000707,deduped-000093,doi:10.1002/2014jd022134,OpenAlex,https://openalex.org/W1982600168
raw-000335,deduped-000094,doi:10.1002/2014jd022219,OpenAlex,https://openalex.org/W1579397898
raw-000575,deduped-000095,doi:10.1002/2014jd022238,OpenAlex,https://openalex.org/W1933551707
raw-001796,deduped-000096,doi:10.1002/2014jd022575,OpenAlex,https://openalex.org/W2157599611
raw-000415,deduped-000097,doi:10.1002/2014jd022781,OpenAlex,https://openalex.org/W1751190512
raw-000510,deduped-000098,doi:10.1002/2014jd022805,OpenAlex,https://openalex.org/W1893442419
raw-001640,deduped-000099,doi:10.1002/2014jf003271,OpenAlex,https://openalex.org/W2134944921
raw-000615,deduped-000100,doi:10.1002/2014jg002749,OpenAlex,https://openalex.org/W1961572439
raw-000547,deduped-000101,doi:10.1002/2014jg002755,OpenAlex,https://openalex.org/W1916828574
raw-001293,deduped-000102,doi:10.1002/2014ms000403,OpenAlex,https://openalex.org/W2083692787
raw-000001,deduped-000102,doi:10.1002/2014ms000403,Crossref,https://doi.org/10.1002/2014ms000403
raw-001184,deduped-000103,doi:10.1002/2014wr015279,OpenAlex,https://openalex.org/W2065450689
raw-001805,deduped-000104,doi:10.1002/2014wr016267,OpenAlex,https://openalex.org/W2159333012
raw-002849,deduped-000105,doi:10.1002/2014wr016493,OpenAlex,https://openalex.org/W2394950373
raw-000555,deduped-000106,doi:10.1002/2015ef000301,OpenAlex,https://openalex.org/W1921622659
raw-000497,deduped-000107,doi:10.1002/2015ef000304,OpenAlex,https://openalex.org/W1878315744
raw-002101,deduped-000108,doi:10.1002/2015ef000311,OpenAlex,https://openalex.org/W2252772284
raw-001476,deduped-000109,doi:10.1002/2015ef000317,OpenAlex,https://openalex.org/W2112235011
raw-002723,deduped-000110,doi:10.1002/2015ef000336,OpenAlex,https://openalex.org/W2343015215
raw-002732,deduped-000111,doi:10.1002/2015ef000350,OpenAlex,https://openalex.org/W2343913306
raw-001462,deduped-000112,doi:10.1002/2015gb005140,OpenAlex,https://openalex.org/W2110145397
raw-001578,deduped-000113,doi:10.1002/2015gb005181,OpenAlex,https://openalex.org/W2125790821
raw-001967,deduped-000114,doi:10.1002/2015gb005239,OpenAlex,https://openalex.org/W2197392479
raw-002104,deduped-000115,doi:10.1002/2015gb005246,OpenAlex,https://openalex.org/W2253447899
raw-002675,deduped-000116,doi:10.1002/2015gb005267,OpenAlex,https://openalex.org/W2338619196
raw-002452,deduped-000117,doi:10.1002/2015gb005272,OpenAlex,https://openalex.org/W2302440089
raw-002049,deduped-000118,doi:10.1002/2015gb005289,OpenAlex,https://openalex.org/W2228781294
raw-002640,deduped-000119,doi:10.1002/2015gb005308,OpenAlex,https://openalex.org/W2336125930
raw-003351,deduped-000120,doi:10.1002/2015gb005334,OpenAlex,https://openalex.org/W2515727467
raw-002975,deduped-000121,doi:10.1002/2015gb005337,OpenAlex,https://openalex.org/W2416562831
raw-003358,deduped-000122,doi:10.1002/2015gb005338,OpenAlex,https://openalex.org/W2516269908
raw-000916,deduped-000123,doi:10.1002/2015gc005737,OpenAlex,https://openalex.org/W2019205913
raw-001361,deduped-000124,doi:10.1002/2015gl063070,OpenAlex,https://openalex.org/W2097585159
raw-000342,deduped-000125,doi:10.1002/2015gl063208,OpenAlex,https://openalex.org/W1586087158
raw-000591,deduped-000126,doi:10.1002/2015gl063569,OpenAlex,https://openalex.org/W1945729573
raw-001826,deduped-000127,doi:10.1002/2015gl063659,OpenAlex,https://openalex.org/W2163732650
raw-000517,deduped-000128,doi:10.1002/2015gl063877,OpenAlex,https://openalex.org/W1899257236
raw-001699,deduped-000129,doi:10.1002/2015gl063886,OpenAlex,https://openalex.org/W2144183445
raw-000566,deduped-000130,doi:10.1002/2015gl064110,OpenAlex,https://openalex.org/W1926883428
raw-000585,deduped-000131,doi:10.1002/2015gl064127,OpenAlex,https://openalex.org/W1942855934
raw-000321,deduped-000132,doi:10.1002/2015gl064240,OpenAlex,https://openalex.org/W1566889860
raw-000458,deduped-000133,doi:10.1002/2015gl064314,OpenAlex,https://openalex.org/W1840015033
raw-000257,deduped-000134,doi:10.1002/2015gl064529,OpenAlex,https://openalex.org/W1496601984
raw-000404,deduped-000135,doi:10.1002/2015gl064672,OpenAlex,https://openalex.org/W1731090108
raw-001702,deduped-000136,doi:10.1002/2015gl064694,OpenAlex,https://openalex.org/W2144800129
raw-001825,deduped-000137,doi:10.1002/2015gl064738,OpenAlex,https://openalex.org/W2163121271
raw-000423,deduped-000138,doi:10.1002/2015gl064838,OpenAlex,https://openalex.org/W1767738953
raw-001458,deduped-000139,doi:10.1002/2015gl064888,OpenAlex,https://openalex.org/W2109960092
raw-000592,deduped-000140,doi:10.1002/2015gl064901,OpenAlex,https://openalex.org/W1946534294
raw-000253,deduped-000141,doi:10.1002/2015gl064903,OpenAlex,https://openalex.org/W1492289470
raw-000562,deduped-000142,doi:10.1002/2015gl064924,OpenAlex,https://openalex.org/W1925309871
raw-000327,deduped-000143,doi:10.1002/2015gl065095,OpenAlex,https://openalex.org/W1572984295
raw-001790,deduped-000144,doi:10.1002/2015gl065211,OpenAlex,https://openalex.org/W2156971625
raw-001747,deduped-000145,doi:10.1002/2015gl065276,OpenAlex,https://openalex.org/W2150547858
raw-000451,deduped-000146,doi:10.1002/2015gl065311,OpenAlex,https://openalex.org/W1833367443
raw-000512,deduped-000147,doi:10.1002/2015gl065435,OpenAlex,https://openalex.org/W1896300280
raw-001531,deduped-000148,doi:10.1002/2015gl065504,OpenAlex,https://openalex.org/W2119033524
raw-000492,deduped-000149,doi:10.1002/2015gl065508,OpenAlex,https://openalex.org/W1873875462
raw-000578,deduped-000150,doi:10.1002/2015gl065627,OpenAlex,https://openalex.org/W1935944464
raw-002106,deduped-000151,doi:10.1002/2015gl065702,OpenAlex,https://openalex.org/W2253677266
raw-000500,deduped-000152,doi:10.1002/2015gl065854,OpenAlex,https://openalex.org/W1884190228
raw-000535,deduped-000153,doi:10.1002/2015gl065931,OpenAlex,https://openalex.org/W1912332720
raw-001916,deduped-000154,doi:10.1002/2015gl066049,OpenAlex,https://openalex.org/W2181574660
raw-000482,deduped-000155,doi:10.1002/2015gl066072,OpenAlex,https://openalex.org/W1863371459
raw-001574,deduped-000156,doi:10.1002/2015gl066160,OpenAlex,https://openalex.org/W2125336339
raw-002032,deduped-000157,doi:10.1002/2015gl066222,OpenAlex,https://openalex.org/W2221316165
raw-001800,deduped-000158,doi:10.1002/2015gl066384,OpenAlex,https://openalex.org/W2158607660
raw-002449,deduped-000159,doi:10.1002/2015gl066560,OpenAlex,https://openalex.org/W2301901212
raw-001985,deduped-000160,doi:10.1002/2015gl066841,OpenAlex,https://openalex.org/W2206469150
raw-002142,deduped-000161,doi:10.1002/2015gl066855,OpenAlex,https://openalex.org/W2260594164
raw-001937,deduped-000162,doi:10.1002/2015gl066858,OpenAlex,https://openalex.org/W2187637860
raw-002126,deduped-000163,doi:10.1002/2015gl067055,OpenAlex,https://openalex.org/W2256787008
raw-002684,deduped-000164,doi:10.1002/2015gl067137,OpenAlex,https://openalex.org/W2339438618
raw-002174,deduped-000165,doi:10.1002/2015gl067143,OpenAlex,https://openalex.org/W2267717920
raw-002427,deduped-000166,doi:10.1002/2015gl067265,OpenAlex,https://openalex.org/W2299779902
raw-002209,deduped-000167,doi:10.1002/2015gl067392,OpenAlex,https://openalex.org/W2275012525
raw-002372,deduped-000168,doi:10.1002/2015gl067448,OpenAlex,https://openalex.org/W2294573309
raw-002188,deduped-000169,doi:10.1002/2015gl067499,OpenAlex,https://openalex.org/W2271400225
raw-002203,deduped-000170,doi:10.1002/2015gl067532,OpenAlex,https://openalex.org/W2274376048
raw-002172,deduped-000171,doi:10.1002/2015gl067545,OpenAlex,https://openalex.org/W2267397677
raw-002511,deduped-000172,doi:10.1002/2015gl067584,OpenAlex,https://openalex.org/W2316805459
raw-000375,deduped-000173,doi:10.1002/2015jc010699,OpenAlex,https://openalex.org/W1644466586
raw-002222,deduped-000174,doi:10.1002/2015jc011156,OpenAlex,https://openalex.org/W2276822962
raw-000455,deduped-000175,doi:10.1002/2015jc011167,OpenAlex,https://openalex.org/W1835868269
raw-002255,deduped-000176,doi:10.1002/2015jc011180,OpenAlex,https://openalex.org/W2282312669
raw-002258,deduped-000177,doi:10.1002/2015jc011232,OpenAlex,https://openalex.org/W2282417939
raw-002668,deduped-000178,doi:10.1002/2015jc011433,OpenAlex,https://openalex.org/W2338035341
raw-002166,deduped-000179,doi:10.1002/2015jc011471,OpenAlex,https://openalex.org/W2266222206
raw-000531,deduped-000180,doi:10.1002/2015jd023206,OpenAlex,https://openalex.org/W1909561576
raw-001683,deduped-000181,doi:10.1002/2015jd023275,OpenAlex,https://openalex.org/W2142488084
raw-001787,deduped-000182,doi:10.1002/2015jd023279,OpenAlex,https://openalex.org/W2156536672
raw-000597,deduped-000183,doi:10.1002/2015jd023294,OpenAlex,https://openalex.org/W1950073852
raw-001442,deduped-000184,doi:10.1002/2015jd023586,OpenAlex,https://openalex.org/W2107932640
raw-000002,deduped-000184,doi:10.1002/2015jd023586,Crossref,https://doi.org/10.1002/2015jd023586
raw-001528,deduped-000185,doi:10.1002/2015jd023603,OpenAlex,https://openalex.org/W2118908291
raw-001545,deduped-000186,doi:10.1002/2015jd023623,OpenAlex,https://openalex.org/W2120930060
raw-000576,deduped-000187,doi:10.1002/2015jd023656,OpenAlex,https://openalex.org/W1934100174
raw-000588,deduped-000188,doi:10.1002/2015jd023665,OpenAlex,https://openalex.org/W1944495842
raw-001928,deduped-000189,doi:10.1002/2015jd023719,OpenAlex,https://openalex.org/W2185200966
raw-002140,deduped-000190,doi:10.1002/2015jd023840,OpenAlex,https://openalex.org/W2260127281
raw-002293,deduped-000191,doi:10.1002/2015jd023858,OpenAlex,https://openalex.org/W2286573202
raw-000579,deduped-000192,doi:10.1002/2015jd023859,OpenAlex,https://openalex.org/W1937719119
raw-002598,deduped-000193,doi:10.1002/2015jd023926,OpenAlex,https://openalex.org/W2330506672
raw-002972,deduped-000194,doi:10.1002/2015jd023953,OpenAlex,https://openalex.org/W2415884313
raw-002683,deduped-000195,doi:10.1002/2015jd023964,OpenAlex,https://openalex.org/W2339275569
raw-001975,deduped-000196,doi:10.1002/2015jd024053,OpenAlex,https://openalex.org/W2200025728
raw-002249,deduped-000197,doi:10.1002/2015jd024108,OpenAlex,https://openalex.org/W2281287070
raw-002380,deduped-000198,doi:10.1002/2015jd024142,OpenAlex,https://openalex.org/W2295276189
raw-002144,deduped-000199,doi:10.1002/2015jd024183,OpenAlex,https://openalex.org/W2261002769
raw-002225,deduped-000200,doi:10.1002/2015jd024201,OpenAlex,https://openalex.org/W2277345488
raw-002370,deduped-000201,doi:10.1002/2015jd024287,OpenAlex,https://openalex.org/W2294134988
raw-002685,deduped-000202,doi:10.1002/2015jd024341,OpenAlex,https://openalex.org/W2339500353
raw-003156,deduped-000203,doi:10.1002/2015jd024382,OpenAlex,https://openalex.org/W2481553623
raw-002529,deduped-000204,doi:10.1002/2015jd024397,OpenAlex,https://openalex.org/W2319855674
raw-003011,deduped-000205,doi:10.1002/2015jd024398,OpenAlex,https://openalex.org/W2430162096
raw-002341,deduped-000206,doi:10.1002/2015jd024399,OpenAlex,https://openalex.org/W2291332257
raw-002471,deduped-000207,doi:10.1002/2015jd024497,OpenAlex,https://openalex.org/W2308324748
raw-002785,deduped-000208,doi:10.1002/2015jd024511,OpenAlex,https://openalex.org/W2347118524
raw-002653,deduped-000209,doi:10.1002/2015jd024519,OpenAlex,https://openalex.org/W2337093972
raw-002358,deduped-000210,doi:10.1002/2015jd024634,OpenAlex,https://openalex.org/W2292763199
raw-003076,deduped-000211,doi:10.1002/2015jd024727,OpenAlex,https://openalex.org/W2467904027
raw-001643,deduped-000212,doi:10.1002/2015jf003667,OpenAlex,https://openalex.org/W2135206546
raw-000552,deduped-000213,doi:10.1002/2015jg003014,OpenAlex,https://openalex.org/W1918525322
raw-001398,deduped-000214,doi:10.1002/2015jg003036,OpenAlex,https://openalex.org/W2102610147
raw-003376,deduped-000215,doi:10.1002/2015jg003045,OpenAlex,https://openalex.org/W2518084558
raw-002204,deduped-000216,doi:10.1002/2015jg003120,OpenAlex,https://openalex.org/W2274511067
raw-002308,deduped-000217,doi:10.1002/2015jg003124,OpenAlex,https://openalex.org/W2289035310
raw-002852,deduped-000218,doi:10.1002/2015jg003157,OpenAlex,https://openalex.org/W2395176145
raw-002113,deduped-000219,doi:10.1002/2015jg003184,OpenAlex,https://openalex.org/W2254700265
raw-002729,deduped-000220,doi:10.1002/2015jg003216,OpenAlex,https://openalex.org/W2343796752
raw-001429,deduped-000221,doi:10.1002/2015ms000436,OpenAlex,https://openalex.org/W2106602290
raw-000244,deduped-000222,doi:10.1002/2015ms000437,OpenAlex,https://openalex.org/W1484476327
raw-002285,deduped-000223,doi:10.1002/2015ms000492,OpenAlex,https://openalex.org/W2285153556
raw-002047,deduped-000224,doi:10.1002/2015ms000574,OpenAlex,https://openalex.org/W2227804600
raw-003678,deduped-000225,doi:10.1002/2015ms000584,OpenAlex,https://openalex.org/W2555606946
raw-002762,deduped-000226,doi:10.1002/2015ms000589,OpenAlex,https://openalex.org/W2345697694
raw-003659,deduped-000227,doi:10.1002/2015wr018525,OpenAlex,https://openalex.org/W2554152762
raw-004486,deduped-000228,doi:10.1002/2016ea000193,OpenAlex,https://openalex.org/W2612976512
raw-003425,deduped-000229,doi:10.1002/2016ef000356,OpenAlex,https://openalex.org/W2522601543
raw-002846,deduped-000230,doi:10.1002/2016ef000361,OpenAlex,https://openalex.org/W2394580436
raw-003582,deduped-000231,doi:10.1002/2016ef000363,OpenAlex,https://openalex.org/W2545096705
raw-003834,deduped-000232,doi:10.1002/2016ef000377,OpenAlex,https://openalex.org/W2566303482
raw-003667,deduped-000233,doi:10.1002/2016ef000399,OpenAlex,https://openalex.org/W2554934325
raw-003660,deduped-000234,doi:10.1002/2016ef000407,OpenAlex,https://openalex.org/W2554319706
raw-003934,deduped-000235,doi:10.1002/2016ef000429,OpenAlex,https://openalex.org/W2579436833
raw-003733,deduped-000236,doi:10.1002/2016ef000434,OpenAlex,https://openalex.org/W2560157926
raw-003781,deduped-000237,doi:10.1002/2016ef000440,OpenAlex,https://openalex.org/W2562743618
raw-004129,deduped-000238,doi:10.1002/2016ef000446,OpenAlex,https://openalex.org/W2592912244
raw-004548,deduped-000239,doi:10.1002/2016ef000469,OpenAlex,https://openalex.org/W2616433095
raw-004415,deduped-000240,doi:10.1002/2016ef000472,OpenAlex,https://openalex.org/W2609256982
raw-004053,deduped-000241,doi:10.1002/2016ef000479,OpenAlex,https://openalex.org/W2588757682
raw-004712,deduped-000242,doi:10.1002/2016ef000481,OpenAlex,https://openalex.org/W2685457721
raw-003789,deduped-000243,doi:10.1002/2016ef000485,OpenAlex,https://openalex.org/W2563233610
raw-004426,deduped-000244,doi:10.1002/2016ef000492,OpenAlex,https://openalex.org/W2610079759
raw-004530,deduped-000245,doi:10.1002/2016ef000503,OpenAlex,https://openalex.org/W2615346223
raw-003937,deduped-000246,doi:10.1002/2016ef000508,OpenAlex,https://openalex.org/W2579998230
raw-004306,deduped-000247,doi:10.1002/2016ef000530,OpenAlex,https://openalex.org/W2604611943
raw-003778,deduped-000248,doi:10.1002/2016gb005374,OpenAlex,https://openalex.org/W2562404486
raw-003427,deduped-000249,doi:10.1002/2016gb005418,OpenAlex,https://openalex.org/W2522818157
raw-003310,deduped-000250,doi:10.1002/2016gb005426,OpenAlex,https://openalex.org/W2513111238
raw-004295,deduped-000251,doi:10.1002/2016gb005503,OpenAlex,https://openalex.org/W2604232569
raw-003461,deduped-000252,doi:10.1002/2016gb005525,OpenAlex,https://openalex.org/W2526346597
raw-003771,deduped-000253,doi:10.1002/2016gb005528,OpenAlex,https://openalex.org/W2561884832
raw-004472,deduped-000254,doi:10.1002/2016gb005615,OpenAlex,https://openalex.org/W2612461924
raw-004872,deduped-000255,doi:10.1002/2016gb005617,OpenAlex,https://openalex.org/W2737389863
raw-002550,deduped-000256,doi:10.1002/2016gl067740,OpenAlex,https://openalex.org/W2323100631
raw-002850,deduped-000257,doi:10.1002/2016gl067757,OpenAlex,https://openalex.org/W2394959740
raw-002184,deduped-000258,doi:10.1002/2016gl067792,OpenAlex,https://openalex.org/W2271024952
raw-002176,deduped-000259,doi:10.1002/2016gl067818,OpenAlex,https://openalex.org/W2268056002
raw-002711,deduped-000260,doi:10.1002/2016gl067931,OpenAlex,https://openalex.org/W2341511228
raw-002349,deduped-000261,doi:10.1002/2016gl067989,OpenAlex,https://openalex.org/W2292012743
raw-002161,deduped-000262,doi:10.1002/2016gl067997,OpenAlex,https://openalex.org/W2265502325
raw-002578,deduped-000263,doi:10.1002/2016gl068060,OpenAlex,https://openalex.org/W2327445622
raw-002314,deduped-000264,doi:10.1002/2016gl068079,OpenAlex,https://openalex.org/W2289721959
raw-002929,deduped-000265,doi:10.1002/2016gl068092,OpenAlex,https://openalex.org/W2407697078
raw-002296,deduped-000266,doi:10.1002/2016gl068172,OpenAlex,https://openalex.org/W2286752732
raw-002516,deduped-000267,doi:10.1002/2016gl068240,OpenAlex,https://openalex.org/W2317515852
raw-002840,deduped-000268,doi:10.1002/2016gl068354,OpenAlex,https://openalex.org/W2390708623
raw-002796,deduped-000269,doi:10.1002/2016gl068390,OpenAlex,https://openalex.org/W2353682209
raw-002754,deduped-000270,doi:10.1002/2016gl068418,OpenAlex,https://openalex.org/W2344993797
raw-002991,deduped-000271,doi:10.1002/2016gl068496,OpenAlex,https://openalex.org/W2419125919
raw-002696,deduped-000272,doi:10.1002/2016gl068511,OpenAlex,https://openalex.org/W2340308553
raw-002879,deduped-000273,doi:10.1002/2016gl068576,OpenAlex,https://openalex.org/W2399923047
raw-003043,deduped-000274,doi:10.1002/2016gl068824,OpenAlex,https://openalex.org/W2462217211
raw-002791,deduped-000275,doi:10.1002/2016gl068825,OpenAlex,https://openalex.org/W2349947165
raw-002813,deduped-000276,doi:10.1002/2016gl068878,OpenAlex,https://openalex.org/W2365337692
raw-003213,deduped-000277,doi:10.1002/2016gl068950,OpenAlex,https://openalex.org/W2498739482
raw-002915,deduped-000278,doi:10.1002/2016gl068964,OpenAlex,https://openalex.org/W2405500967
raw-003210,deduped-000279,doi:10.1002/2016gl068965,OpenAlex,https://openalex.org/W2497279828
raw-002735,deduped-000280,doi:10.1002/2016gl069022,OpenAlex,https://openalex.org/W2344150408
raw-002889,deduped-000281,doi:10.1002/2016gl069151,OpenAlex,https://openalex.org/W2401319190
