"Essay","Line","Role","Action","Old","New","Caption","Alt","SourceUrl"
"rethinking-invasive-species-management","173","body","replace_with_diagram","/images/medium/rethinking-invasive-species-management/97baf9320c3c4d02290f905c8b9d129c8d86a532b84eb010fbe5db05f9c3c00d.svg","","","","https://cdn-images-1.medium.com/max/800/1*O1YgMxtKobB3v6w_YlSCCg@2x.jpeg"
"rethinking-invasive-species-management","179","body","generate_diagram","/images/medium/rethinking-invasive-species-management/3f8499f0798c03cf1eecbfa1dec48a7b27ec25affcc450594192ea2a2d7a7309.svg","/images/essays/rethinking-invasive-species-management/invasion-curve.png","Photo by Vicky Sim on Unsplash","Diagram of the invasion curve from prevention through long-term control.","https://cdn-images-1.medium.com/max/800/1*jZvB_EUa6-iQpbnb2EMknw@2x.jpeg"
"rethinking-invasive-species-management","213","body","remove_duplicate","/images/medium/rethinking-invasive-species-management/b0c3ee80ec59379bd0f02726432e145f1405368e3329f7e4e840962d958f91d9.svg","","","","https://cdn-images-1.medium.com/max/800/1*O1YgMxtKobB3v6w_YlSCCg@2x.jpeg"
"rethinking-invasive-species-management","250","body","generate_diagram","/images/medium/rethinking-invasive-species-management/5f3def93a2e9ae1a0846a3b39c883316ed06bbe47fda5b1974d597d7cf30b273.svg","/images/essays/rethinking-invasive-species-management/case-python-monitor.png","","Comparison diagram for Burmese pythons and Nile monitors.","https://cdn-images-1.medium.com/max/800/1*2fAMvFLYqxGhaci3vRCZCw@2x.jpeg"
"rethinking-invasive-species-management","274","body","remove_duplicate","/images/medium/rethinking-invasive-species-management/d99e0fe4832ffbcd0e67190ddbe5095cb470b364fd41e6dd31e9b3f7c94ccc48.svg","","","","https://cdn-images-1.medium.com/max/800/1*OyXzv4py69NoMTneU1DIZQ@2x.jpeg"
"rethinking-invasive-species-management","280","body","generate_diagram","/images/medium/rethinking-invasive-species-management/e4ed26917d6fd066507d5a3311baf58f762df86aa847e47154ef05e3bd7120eb.svg","/images/essays/rethinking-invasive-species-management/case-hydrilla-floating-heart.png","","Comparison diagram for hydrilla and crested floating heart.","https://cdn-images-1.medium.com/max/800/1*F1V2KVCZY1IFWCfgqWDbTQ@2x.jpeg"
"rethinking-invasive-species-management","292","body","remove_duplicate","/images/medium/rethinking-invasive-species-management/776da8fa787620d6bd07515a6dfdbaf1d4512d02adbd5cc5b9dc68bd4bb5f80e.svg","","","","https://cdn-images-1.medium.com/max/800/1*qzSCM3Q5gRTD3e7f2Adssw@2x.jpeg"
"rethinking-invasive-species-management","306","body","recover_original","/images/medium/rethinking-invasive-species-management/57772534b594bb1e0f5e9c13ebc023ca49730b75570b290599002184df47a22c.svg","/images/essays/rethinking-invasive-species-management/lionfish.jpg","","Lionfish near coral.","https://cdn-images-1.medium.com/max/800/1*jIEWyJe7hWIdUba9bF5j2g@2x.jpeg"
"rethinking-invasive-species-management","322","body","recover_original","/images/medium/rethinking-invasive-species-management/ae083295d06a5b75681ec15c74a31cf0ead6f5a03d76547cf8f6a1472c02e5b4.svg","/images/essays/rethinking-invasive-species-management/zebra-mussels.jpg","","Zebra mussels attached to a hard surface.","https://cdn-images-1.medium.com/max/800/1*eTVXJMMazAzwZYREXIAPkw@2x.jpeg"
"rethinking-invasive-species-management","340","body","generate_diagram","/images/medium/rethinking-invasive-species-management/f2ab4225c1bf7f320325acc767946560ea7d01d77ecafaad94889349f0d4f0af.svg","/images/essays/rethinking-invasive-species-management/case-lionfish-zebra-mussels.png","Photo by AZGAN MjESHTRI on Unsplash","Comparison diagram for lionfish and zebra mussels in retail pathways.","https://cdn-images-1.medium.com/max/800/1*_mI-nnaTrRjjFIJvp38aGw@2x.jpeg"
"rethinking-invasive-species-management","368","body","remove_decorative","/images/medium/rethinking-invasive-species-management/68ae2150df319f023661f5e377fa72398ce60e0833cbc890a5c73ea2f840d4a1.svg","","Photo by hayleigh b on Unsplash","","https://cdn-images-1.medium.com/max/800/1*3VCtxE1Q_VGEfh-FT6MGUw@2x.jpeg"
"rethinking-invasive-species-management","384","body","recover_original","/images/medium/rethinking-invasive-species-management/42734d07744853dfceee5c925c1ce126161346d30c5f7d66b25b0867f5acf1d6.svg","/images/essays/rethinking-invasive-species-management/florida-ecosystem.jpg","Photo by Richard Sagredo on Unsplash","Alligator resting near water in a Florida habitat.","https://cdn-images-1.medium.com/max/800/1*LzSbq5aUiq6LuJobhWOVIQ@2x.jpeg"
